path,line,text
docs/AI_AGENT_RULES.md,3,All AI agents modifying this repository must follow these rules.
docs/ARCHITECTURE.md,3,## Canonical Inputs And Outputs
docs/ARCHITECTURE.md,5,- Editable canonical input: `data/inputs.json`
docs/ARCHITECTURE.md,10,- Canonical asset root: `assets/`
docs/ARCHITECTURE.md,14,"- First-load list, dashboard, shows, movies, and watch-me views must load from `catalog_index.json`."
docs/ARCHITECTURE.md,15,- Calendar and weekly dashboard date-grouped views must load from `calendar.json`.
docs/ARCHITECTURE.md,16,- Popup and detail views must lazy-load `catalog_detail/<tmdb_id>.json`.
docs/ARCHITECTURE.md,17,- `data/data.json` may exist for build/reference/QA purposes but must not be the active first-load runtime dependency.
docs/ARCHITECTURE.md,26,"- `web/js/ui_contract_fix.js` and `web/css/ui_contract_fix.css` remain compatibility shims only; canonical rendering belongs to `action_bar.js`, `watch_state_manager.js`, `data_loader.js`, `trailer_watch_popup_fix.js`, and `web/css/main_app.css`."
docs/ARCHITECTURE.md,27,- `watched_status` maps to Trakt watched/history when sync is enabled.
docs/ARCHITECTURE.md,28,- `watch_list` maps to Trakt watchlist when sync is enabled.
docs/ARCHITECTURE.md,30,- Trakt matching must use `tmdb_id`; no title/fuzzy matching is allowed for sync.
docs/ARCHITECTURE.md,31,- Offline UI state changes must be instant and must not depend on network/API availability.
docs/ARCHITECTURE.md,39,- TV episode data must exist only under `seasons[].episodes[]`.
docs/ARCHITECTURE.md,40,"- Active runtime artifacts must not leak competing watch structures such as `watch_sources`, `source_options`, or `watch_providers`."
docs/ARCHITECTURE.md,56,- Single-title feature pages may use reusable page modules when they do not alter the canonical catalog runtime.
docs/ARCHITECTURE.md,68,"- The watch-party player is server-backed for room/timer synchronization, but playback source selection is owned by the host page. Single-title pages pass their selected episode/watch URL into `web/js/watch_party_player.js`; local-only media directories are retained only as development/testing fallb"
docs/ARCHITECTURE.md,71,"- The module must not become a parallel catalog runtime, editor, watch-state system, or replacement for the shared card/action system."
docs/ARCHITECTURE.md,80,- Browse-style filter rails must expose a visible hide/show toggle instead of being permanently pinned open.
docs/ARCHITECTURE.md,82,- Dashboard and calendar weekly layouts must stay TV-first:
docs/ARCHITECTURE.md,96,- Production build flow is `inputs.json -> TMDB -> OMDB -> Trakt -> availability/status -> split-runtime build -> QA`.
docs/ARCHITECTURE.md,97,"- Runtime images are generated from immutable originals under `assets/original_downloads/` into canonical runtime folders under `assets/posters`, `assets/stills`, `assets/backdrops`, `assets/logos`, and `assets/icons`."
docs/ARCHITECTURE.md,98,- Runtime poster targets are about 342px wide; runtime still/backdrop targets are about 780px wide. Runtime folders must not retain 4K/original-sized images.
docs/ARCHITECTURE.md,99,- Repo-standard validation is `scripts/validate_runtime.ps1`.
docs/ARCHITECTURE.md,100,- Removed overlay/patch-bundle folders and apply scripts must not return as active repo files.
docs/ARCHITECTURE.md,106,- Local validation and GitHub Actions must enforce the same runtime artifact and schema rules.
docs/ARCHITECTURE.md,108,## Version Contract
docs/ARCHITECTURE.md,110,"- The visible app version badge/footer must derive from canonical runtime/config metadata, not from hard-coded version strings inside page runtimes."
docs/ARCHITECTURE.md,111,- `web/config.json > _meta.version` is the current UI-facing version source unless a newer documented shared metadata source replaces it.
docs/ARCHITECTURE_LOG.md,13,- `data/inputs.json` is the canonical user-maintained input file.
docs/ARCHITECTURE_LOG.md,72,- Rebased `web/index.html` back to the thin canonical shell so the shared runtime and shared stylesheet own the dashboard-family views.
docs/ARCHITECTURE_LOG.md,74,"- Hardened `tools/inputs_editor/inputs_editor_server.py` with validation, backup creation, atomic save, and a runtime refresh endpoint."
docs/ARCHITECTURE_LOG.md,76,- Removed blocking prompts from the asset QA/repair scripts and added a current validation workflow under `.github/workflows/validate.yml`.
docs/ARCHITECTURE_LOG.md,89,"- Implemented shared availability validation/enrichment helpers under `scripts/availability_status_lib.py`, with dedicated validator, enricher, and QA scripts."
docs/ARCHITECTURE_LOG.md,90,- Chained availability validation/enrichment into the actual TMDB→OMDB→Trakt runner in `scripts/run_pipeline_tmdb_trakt.py`.
docs/ARCHITECTURE_LOG.md,92,"- Updated the availability docs set to match the live repo’s actual keys, workflow runner, validation mode, and QA artifacts."
docs/ARCHITECTURE_LOG.md,96,"- Hardened validation from structural-only to provider-aware validation in `scripts/availability_status_lib.py`, with optional cached network verification support that remains disabled by default."
docs/ARCHITECTURE_LOG.md,97,"- Added deterministic phase-2 QA and production-state validators for override precedence, runtime asset coverage, runtime catalog integrity, and browser-level badge placement."
docs/ARCHITECTURE_LOG.md,99,- Updated the local TMDB→OMDB→Trakt runner to fetch missing TMDB assets before runtime asset validation so rebuilt `*_local` refs no longer fail the final production-state pass.
docs/ARCHITECTURE_LOG.md,103,- Added `scripts/validate_secret_name_drift.py` plus runtime warnings in the Trakt helper scripts so `API_TRAKT_REDIRECT_URL` is the only canonical redirect secret name and deprecated typo usage is explicitly surfaced.
docs/ARCHITECTURE_LOG.md,104,- Added `scripts/self_heal_asset_metadata.py` to classify unrecoverable upstream metadata gaps and deterministically repair recoverable `*_path` / `*_local` drift before final validation.
docs/ARCHITECTURE_LOG.md,105,"- Updated the local runner to execute secret drift validation and asset metadata self-heal before availability validation/enrichment, keeping the final runtime asset validator at the end of the chain."
docs/ARCHITECTURE_LOG.md,131,- Pointed shared runtime save/health probes at the local inputs editor server on `127.0.0.1:8787` instead of the static-site origin so dashboard/watch-state writeback and editor availability checks no longer emit false 404s under the canonical local server workflow.
docs/ARCHITECTURE_LOG.md,132,- Updated the canonical shell pages and the inputs editor shell to declare an explicit favicon and aligned the smoke-test page list to the real dashboard/calendar/shows/movies/config/watch-me shells used by the app.
docs/ARCHITECTURE_LOG.md,136,- Repointed shared watch-me navigation and action links to the canonical `web/watch_me/watch_me.html` shell instead of the legacy `web/watch.me.html` page path.
docs/ARCHITECTURE_LOG.md,137,- Retired `web/watch.me.html` into a redirect-only shell that preserves incoming `?tv=` / `?m=` query parameters and forwards them to the canonical watch-me page.
docs/ARCHITECTURE_LOG.md,143,"- Revalidated the canonical dashboard, calendar, inputs editor, and retired watch redirect paths with headless Chrome after the cleanup pass."
docs/ARCHITECTURE_LOG.md,166,"- Restored a real GitHub Actions production rebuild workflow in `.github/workflows/build-data.yml` so pushes affecting `data/inputs.json`, pipeline scripts, or `web/config.json` can regenerate `data/data.json` and changed `assets/**` automatically instead of only validating tracked state."
docs/ARCHITECTURE_LOG.md,167,- Re-aligned `scripts/run_pipeline_tmdb_trakt.py` with the live end-to-end build path by restoring the explicit `fetch_tmdb_assets.py` step before final self-heal and runtime validation.
docs/ARCHITECTURE_LOG.md,170,"- Updated workflow docs to reflect the current live repo reality: the repo now has both `.github/workflows/build-data.yml` and `.github/workflows/validate.yml`, and it explicitly notes that `scripts/fetch_trakt_primary.py` exists while the active production runner remains the TMDB-first chain."
docs/ARCHITECTURE_LOG.md,176,- Redirected the retired `web/library_editor.html` surface back to the in-app inputs-editor route while keeping `web/inputs_editor.html` as the canonical editor served by the dedicated local server.
docs/ARCHITECTURE_LOG.md,180,- Restored live duplicate-state signaling in the canonical `web/inputs_editor.html` TMDB and queue surfaces so existing movies and shows are visibly marked before add/update actions.
