page,component_type,component_name_or_label,static_or_dynamic,render_source_file,render_function,trigger_source,major_sections,supported_actions,key_data_fields,styling_hooks,popup_or_card_variant_id,closest_related_variant,notable_differences,recommended_baseline_source,keep_change_merge_retire
web/index.html,show_card,Main app show grid card,dynamic,web/index.html,showCardHtml,data-show-open,title|poster|icon strip|meta,open show|icon strip actions,tmdb_id|title|poster|first_air_date|last_air_date|vote_average,.card|.imgbox|.cardmeta,SHOW_CARD_APP_V1,SHOW_CARD_DISCOVER_V2,No inline watch toggle; lighter than discover,merge with SHOW_CARD_DISCOVER_V2,change
web/discover.html,show_card,Discover show grid card,dynamic,web/discover.html,showCardHtml,data-show-open|data-watch-show,title|poster|watch toggle|icon strip|meta,open show|toggle watched|watchlist status,tmdb_id|title|poster|first_air_date|last_air_date|watch state,.card|.switch.show|.cardmeta,SHOW_CARD_DISCOVER_V2,SHOW_CARD_APP_V1,Most complete behavior but denser controls,primary baseline,keep
web/index.html,movie_card,Main app movie grid card,dynamic,web/index.html,movieCardHtml,data-movie-open,title|poster|icon strip|meta,open movie|icon strip actions,tmdb_id|title|poster|release_date|runtime|genres,.card|.imgbox|.cardmeta,MOVIE_CARD_APP_V1,MOVIE_CARD_APP_V2,No inline provider action stack,merge with MOVIE_CARD_APP_V2,change
web/shows.html,movie_card,Shows page movie grid card,dynamic,web/shows.html,movieCardHtml,data-movie-open,title|poster|icon strip|meta|action stack,open movie|provider links|icon strip actions,tmdb_id|title|poster|release_date|runtime|genres|links,.card|.actionstack|.iconbtn,MOVIE_CARD_APP_V2,MOVIE_CARD_APP_V1,Adds streaming buttons directly on card,primary baseline,keep
web/calendar.html,episode_card,Calendar day episode card,dynamic,web/calendar.html,renderCalendar,calendar chip button,thumb|show badge|episode meta|side actions|progress,open show/movie modal|watched toggle|history/date/list/rate,show_tmdb_id|season_number|episode_number|episode_name|thumb|links|progress,.chip.cal-episode|.epcard|.watch-toggle,CAL_EPISODE_CARD_V1,EPISODE_CARD_POPUP_V2,Highest action density and smallest footprint,merge action bar into standard episode card,merge
web/calendar.html,movie_card,Calendar day movie chip,dynamic,web/calendar.html,renderCalendar,calendar chip button,thumb|title|meta|action icons,open movie|watched toggle|provider links,tmdb_id|title|thumb|release_date|runtime|links,.chip|.thumb|.actionicon,CAL_MOVIE_CARD_V1,MOVIE_CARD_APP_V2,Calendar-specific compact form factor,page-specific retain,keep
web/index.html,show_popup,Main app show popup,dynamic,web/index.html,buildShowPopupHtml|wireShowPopup,openShowModal,title hero|poster|pills|show meta|season picker|season detail|episode carousel,where to watch|RT|watch status choices|season select|episode links,show detail fields + seasons[] + episodes[] + networks[] + production_companies,.showwrap|.showback|.hero|.epcard,SHOW_POPUP_APP_V1,SHOW_POPUP_APP_V2,Rich layout but watch toggles intentionally blank,merge with SHOW_POPUP_APP_V2 controls,change
web/discover.html,show_popup,Discover show popup,dynamic,web/discover.html,buildShowPopupHtml|wireShowPopup,openShowModal,title hero|poster|popupwatch|pills|show meta|season picker|season detail|episode carousel,toggle show|toggle season|toggle episode|watch status|where to watch|RT,show detail fields + watch state + seasons[] + episode links,.showwrap|.popupwatch|.switch.show|.switch.episode,SHOW_POPUP_APP_V2,SHOW_POPUP_APP_V1,Best behavior coverage with same core layout,primary baseline,keep
web/calendar.html,show_popup,Calendar show popup,dynamic,web/calendar.html,buildShowPopupHtml|wireShowPopup,openShowModal,title hero|poster|pills|show meta|season picker|season detail|episode carousel,where to watch|RT|watch status choices|season select|episode links,show detail fields + seasons[] + episodes[],.showwrap|.hero|.epcard,SHOW_POPUP_APP_V1,SHOW_POPUP_APP_V2,Same visual family but no watch toggles,merge controls only,change
web/shows.html,movie_popup,Shows page movie popup,dynamic,web/shows.html,openMovieModal|wireMoviePopup,openMovieModal,poster|title|overview|action row|production|backdrop,provider modal|RT|streaming links,movie detail fields + production_companies + links,.popupwatch absent|.metablock,MOVIE_POPUP_APP_V1,MOVIE_POPUP_APP_V2,Missing popup watch controls and watch-status band,merge behavior from V2,change
