file,view_or_area,actual_purpose,status,classification,primary_gaps,recommended_direction
web/index.html,dashboard,main corrected baseline shell,partial,"partial; duplicated","monolithic inline css/js; repeated loads; not extracted to shared runtime","keep as current baseline source and extract shared runtime"
web/shows.html,shows,shows surface on corrected family path,partial,"partial; duplicated","same monolith duplication as dashboard; still file-cloned","keep and normalize against shared runtime"
web/movies.html,movies,movies surface on corrected family path,partial,"partial; duplicated","same monolith duplication as dashboard; still file-cloned","keep and normalize against shared runtime"
web/calendar.html,calendar,calendar surface on older cloned shell,wrong,"wrong; duplicated","legacy watchstatusband; no corrected shared action bar; stale runtime","replace after normalization rather than incremental patching"
web/discover.html,discover,discover surface on older cloned shell,wrong,"wrong; duplicated","legacy watchstatusband; stale popup/action model; drift from baseline trio","rebuild onto normalized blocks"
web/config.html,config,config UI wrapped in old cloned shell,wrong,"wrong; duplicated","legacy watchstatusband path; heavy duplicate shell; config-specific logic mixed into monolith","convert to thin config/runtime client"
web/watch.me.html,watch.me legacy,legacy standalone watch page,stale,"stale; partial","separate architecture; no baseline component model; older narrow purpose","retire after replacement path is confirmed"
web/watch_me/watch_me.html,watch_me standalone,newer watch-me surface,partial,"partial","separate architecture; own watch-state logic; not on core baseline","keep as separate product surface and normalize shared helpers only"
web/tv_shows_listing.html,tv listing,listing utility over data.json,stale,"stale; duplicated","separate utility UI; no normalized action bar/popup model","retire or rewrite as utility/reporting page"
web/inputs_editor.html,canonical editor,curation editor for data/inputs.json,correct,"correct","depends on local server availability; needs documentation cleanup","keep as canonical editor"
web/library_editor.html,legacy editor,alternate editor around inputs_parsed.json,wrong,"wrong; stale; should retire","targets missing inputs_parsed.json; export-only workflow; drifted model","retire"
web/css/my_tv_hub.css,shared css,shared stylesheet for side surfaces,partial,"partial","not used by main corrected family; duplicated style logic still inline elsewhere","promote into real shared styling layer or replace"
web/config.js,shared config runtime,config load/validate helper,partial,"partial","not consistently consumed by main surfaces; overlaps inline logic","keep and expand after runtime extraction"
web/config.json,config data,central config/runtime constants,partial,"partial; stale","contains stale icon metadata; path assumptions inconsistent","keep and clean stale keys"
README.md,root readme,project entry doc,stale,"stale; contradictory","describes older architecture and workflows","replace as canonical README"
README_my_TV_Movie.md,alt readme,secondary project doc,stale,"stale; redundant","documents season popup/icon strip era","merge useful content then archive"
README.txt,placeholder readme,placeholder note,stale,"stale; should retire","not useful as current documentation","archive or remove from active docs"
scripts.md,script overview,top-level script notes,partial,"partial","mixes current and stale assumptions","merge into canonical docs"
scripts/scripts.md,script inventory,script inventory and pipeline notes,partial,"partial; stale","still references inputs_parsed and old parse flow in places","salvage operational content and correct"
web/config.DOC.md,config doc,watch_me config doc in wrong location,stale,"stale placement","browser folder placement is wrong for docs","move under docs/"
docs/spec,historical spec set,historical full architecture docs,stale,"stale; contradictory","binds app to season popup/icon strip/popup chain","archive as historical non-authoritative material"
docs/ui_standardization/baseline_contract_v3.md,ux contract,current locked baseline,correct,"correct","none at contract level","keep as current UX source of truth"
