path,bytes,lines,class,disposition,terms,heading_count
docs/AI_AGENT_RULES.md,568,15,agent_process_reference,Archive as process reference; extract only stable Codex operating guardrails,,1
docs/ARCHITECTURE.md,6927,111,active_recent,"Compare with new master; merge, do not replace blindly",watchlist; watch_me; watch me; trakt; asset; availability; calendar; show; movie; episode; season; popup,10
docs/ARCHITECTURE_LOG.md,30120,307,historical_status_evidence,Archive as status/history; extract unresolved decisions only,watch_me; watch me; trakt; asset; availability; calendar; show; movie; episode; season; popup; validation,37
docs/DOCS_CLEANUP_PHASE2_PLAN_2026-03-21.md,666,23,historical_status_evidence,Archive as status/history; extract unresolved decisions only,availability; popup,4
docs/DOCS_CLEANUP_PLAN_2026-03-21.md,769,23,historical_status_evidence,Archive as status/history; extract unresolved decisions only,availability,4
docs/DOCS_INFORMATION_ARCHITECTURE.md,1770,43,needs_triage,Needs human/next-pass triage,validation; config,5
docs/DOCS_REVIEW_2026-03-21.md,4038,72,historical_status_evidence,Archive as status/history; extract unresolved decisions only,asset; availability; movie; popup; version; invariant; config,8
docs/DOCS_REVIEW_PHASE2_2026-03-21.md,5145,81,historical_status_evidence,Archive as status/history; extract unresolved decisions only,watchlist; asset; availability; calendar; show; movie; episode; season; popup; validation; version; invariant,7
docs/DOCUMENTATION_STANDARD.md,6563,56,active_recent,"Compare with new master; merge, do not replace blindly",trakt; asset; calendar; show; movie; episode; season; popup; validation; focus; d-pad; data.json,7
docs/Network + Service Logo Spec.md,3575,94,extract_assets,Extract asset standards and pipeline checks,asset; calendar; show; movie; episode; popup; version; config,0
docs/PROJECT_STATUS_2026-03-16.md,3304,87,historical_status_evidence,Archive as status/history; extract unresolved decisions only,watch_me; asset; calendar; show; movie; episode; season; validation; config; data.json; inputs.json; watched,7
docs/README.md,4986,74,active_recent,"Compare with new master; merge, do not replace blindly",availability; calendar; movie; episode; popup; validation; config; focus; sync,8
docs/THREAD_RESTART_HANDOFF_2026-03-16.md,4123,126,historical_status_evidence,Archive as status/history; extract unresolved decisions only,watch_me; asset; calendar; show; movie; episode; season; config; data.json; inputs.json,8
docs/TMDB-ID_Streaming_Embed_Providers#U2013URL_Patterns&Integration_Notes.html,30915,890,extract_integrations,Extract integration URL/API patterns,show; movie; episode; season; validation; version; focus,0
docs/TMDB_fields.txt,1098,57,needs_triage,Needs human/next-pass triage,movie; episode; season,0
docs/UI_COMPONENTS.md,2017,60,active_recent,"Compare with new master; merge, do not replace blindly",watch_me; availability; calendar; show; movie; episode; season; popup; version; favourite; watched,6
docs/UI_GAP_ANALYSIS.md,408,21,needs_triage,Needs human/next-pass triage,calendar,3
docs/VIEW_NAVIGATION_TREE.md,1496,77,extract_navigation,Extract navigation/view map,watchlist; watch me; availability; calendar; show; movie; episode; season; popup; config; focus; d-pad,5
docs/Web Icon Image Inventory (usable formats & variants).txt,4580,115,extract_ui_assets,Needs triage,asset; movie,11
